,SO,onbase_perc,L,batting_avg,G,W,H,3B,HR,RBI,R,2B,slugging_perc,BB
0,1179,.317,71,.241,119,48,976,21,184,556,573,194,.435,424
0,1221,.314,73,.254,162,89,1402,32,176,644,677,256,.408,430
0,1267,.325,84,.259,162,78,1436,17,200,714,750,281,.424,487
0,1288,.326,76,.259,162,86,1446,17,223,735,768,251,.430,506
0,1336,.311,86,.249,162,76,1379,22,198,624,656,262,.411,478
0,1232,.300,75,.244,162,87,1328,32,136,600,634,247,.376,396
0,1353,.306,91,.237,162,71,1318,17,188,597,624,249,.390,529
0,1259,.296,87,.234,162,75,1285,27,149,584,619,241,.369,466
0,1280,.292,95,.233,162,67,1263,22,109,534,556,253,.348,435
0,1184,.298,101,.236,162,61,1274,16,101,485,513,227,.339,459
0,1093,.314,77,.258,162,85,1430,19,160,613,640,280,.402,421
0,890,.318,101,.265,162,61,1498,20,124,631,671,285,.389,417
0,861,.337,74,.287,162,88,1629,22,153,754,794,284,.425,389
0,974,.325,84,.272,162,78,1540,42,172,703,756,266,.424,404
0,986,.317,93,.256,162,69,1408,34,130,657,699,289,.391,466
0,1058,.331,99,.270,162,63,1544,20,136,658,698,276,.396,492
0,989,.344,69,.271,162,93,1509,33,139,759,795,290,.410,586
0,1003,.350,69,.275,162,93,1531,31,152,771,814,285,.419,629
0,989,.360,46,.288,162,116,1637,38,169,881,927,310,.445,614
0,1073,.361,71,.269,162,91,1481,26,198,869,907,300,.442,775
0,1095,.343,83,.269,162,79,1499,21,244,825,859,263,.455,610
0,1081,.345,85,.276,161,76,1553,28,234,822,859,321,.468,558
0,1110,.355,72,.280,162,90,1574,21,264,890,925,312,.485,626
0,1052,.366,76,.287,161,85,1625,19,245,954,993,343,.484,670
0,871,.350,66,.276,145,79,1377,20,182,767,796,276,.448,549
0,652,.335,63,.269,112,49,1045,18,153,549,569,211,.451,372
0,901,.339,80,.260,162,82,1429,24,161,681,734,272,.406,624
0,841,.323,98,.263,162,64,1466,24,149,638,679,278,.402,474
0,811,.328,79,.255,162,83,1400,29,126,665,702,268,.383,588
0,749,.333,85,.259,162,77,1419,26,107,610,640,251,.373,596
0,838,.320,89,.257,162,73,1417,29,134,653,694,237,.384,489
0,787,.317,93,.257,161,68,1397,27,148,617,664,271,.398,461
0,863,.335,84,.272,162,78,1499,48,161,717,760,282,.428,500
0,1148,.326,95,.253,162,67,1392,41,158,681,718,243,.399,572
0,942,.326,88,.255,162,74,1410,38,171,686,719,277,.412,564
0,871,.324,88,.258,162,74,1429,34,129,635,682,244,.384,519
0,840,.301,102,.240,162,60,1280,31,111,536,558,247,.360,460
0,806,.311,86,.254,162,76,1431,33,130,614,651,259,.381,456
0,553,.314,65,.251,110,44,950,13,89,406,426,148,.368,329
0,727,.308,103,.248,163,59,1359,35,104,564,610,211,.356,483
0,725,.331,95,.269,162,67,1490,52,132,676,711,250,.404,515
0,702,.314,104,.248,160,56,1327,37,97,571,614,229,.359,522
0,769,.312,98,.256,162,64,1398,33,133,589,624,218,.381,426
